,X-GAT-DRL (Hybrid),X-GAT-DRL (GRU),X-GAT-DRL (LSTM),1/N,GMV,HMM-GMV,GLASSO-GAT,TC-MAC,JM-MPC
2025-09-02,-0.001482315940452783,-0.004858818663533326,-0.004620506746592312,-0.004421717657281055,-0.00020339691920367997,-0.006270027678922152,-0.006027522485263503,-0.00515997366927845,-0.004363572471709154
2025-09-03,0.0,-0.0018814108287348308,-0.002567678421004138,-0.0010840671700207416,0.0,-0.001911792045338645,-0.003045624802961777,-0.0019447737663882414,-0.000818476454967354
2025-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-09,-0.0009850786514632448,-0.0005553497579811051,-0.0003967366553522256,-0.0009529159065418957,-0.000941901505838616,-0.0013457600971465977,-0.00098056394306556,-0.0009710804066310752,-0.000347585730751665
2025-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-12,-0.0007029587157710848,-0.000995142704107388,-0.0007555961546977796,-0.0014578156272774256,-0.0004481700481281381,-0.0012950195859366964,-0.0011377135002249572,-0.0013336026935493184,-0.0006008537800115121
2025-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-17,-0.0026156392269289785,-0.0017166718438363926,-0.0017843985840838572,-0.0022632916803617675,-0.0016358434308045844,-0.002124256267962643,-0.0020189438575131113,-0.0020865246674480753,-0.0024064611644868394
2025-09-18,-0.0008240803482602033,-0.0003849018825580197,0.0,-0.0005780322682228389,-0.003099153082876005,-0.00306930553737228,-0.0004941775515484581,0.0,0.0
2025-09-19,-0.0008178913914818065,-0.0006214224663156909,-0.000789420242411687,-0.0013053428347328255,-0.0027048998415756254,-0.0031115838716662125,-0.0008691218944719692,-0.0005480747526511731,0.0
2025-09-22,0.0,0.0,0.0,0.0,-0.0018817546177682942,-0.0033671572740298084,0.0,0.0,0.0
2025-09-23,0.0,0.0,0.0,0.0,-0.000220252288096634,-0.0020237408502554732,0.0,0.0,-7.103231858374137e-05
2025-09-24,-0.0036226366894432926,-0.0031490488241047165,-0.002858384536581604,-0.0041008842994989525,-0.0017517668100015538,-0.0044436237824008185,-0.004073227582868211,-0.003935286217308098,-0.0042740694657917855
2025-09-25,-0.004759489378843407,-0.005182573580729932,-0.0049611259705005795,-0.0065951272694660945,-0.0018482917700615165,-0.006285552540707284,-0.007019008983163211,-0.006819678576325927,-0.006827779105521459
2025-09-26,-0.001388139860912685,-0.002490140424916687,-0.002115065958100071,-0.003102644957219569,-0.00104486566161055,-0.0049557393806246575,-0.003722913689163665,-0.0033357476233879524,-0.0027768691011182955
