Date,HMM state 0,HMM state 1,Reference stress,Market phase,Window
2021-05-27,0.9989650819043865,0.0010349180956135357,0,Bull,fixed holdout
2021-05-28,0.9995027357810476,0.0004972642189523594,0,Bull,fixed holdout
2021-06-01,0.999272235087623,0.0007277649123771342,0,Bull,fixed holdout
2021-06-02,0.9996499811782469,0.0003500188217531297,0,Bull,fixed holdout
2021-06-03,0.9979123426218832,0.002087657378116831,0,Bull,fixed holdout
2021-06-04,0.9961980608897041,0.0038019391102959346,0,Bull,fixed holdout
2021-06-07,0.999173753374386,0.0008262466256140355,0,Bull,fixed holdout
2021-06-08,0.9995108509638325,0.0004891490361675796,0,Bull,fixed holdout
2021-06-09,0.9996888587360435,0.00031114126395653433,0,Bull,fixed holdout
2021-06-10,0.999676466614383,0.0003235333856170174,0,Bull,fixed holdout
2021-06-11,0.9998047259856457,0.00019527401435437004,0,Bull,fixed holdout
2021-06-14,0.9998386559128846,0.00016134408711539875,0,Bull,fixed holdout
2021-06-15,0.9997938947288368,0.00020610527116312263,0,Bull,fixed holdout
2021-06-16,0.9993628541005146,0.0006371458994853921,0,Bull,fixed holdout
2021-06-17,0.9997191901690063,0.00028080983099363087,0,Bull,fixed holdout
2021-06-18,0.9996381748179098,0.0003618251820901221,0,Bull,fixed holdout
2021-06-21,0.9990782658435575,0.0009217341564424799,0,Bull,fixed holdout
2021-06-22,0.999704421922173,0.0002955780778270407,0,Bull,fixed holdout
2021-06-23,0.9998009553358085,0.00019904466419161759,0,Bull,fixed holdout
2021-06-24,0.9997203575301583,0.0002796424698416818,0,Bull,fixed holdout
2021-06-25,0.9998543887921827,0.00014561120781730525,0,Bull,fixed holdout
2021-06-28,0.999887131727117,0.00011286827288304807,0,Bull,fixed holdout
2021-06-29,0.9999110913644088,8.890863559123686e-05,0,Bull,fixed holdout
2021-06-30,0.9999285501762462,7.144982375380891e-05,0,Bull,fixed holdout
2021-07-01,0.9999337129607898,6.628703921024909e-05,0,Bull,fixed holdout
2021-07-02,0.9999185719959052,8.142800409486765e-05,0,Bull,fixed holdout
2021-07-06,0.999922982938513,7.70170614869496e-05,0,Bull,fixed holdout
2021-07-07,0.9999435423594792,5.645764052081891e-05,0,Bull,fixed holdout
2021-07-08,0.9999026284073277,9.737159267240279e-05,0,Bull,fixed holdout
2021-07-09,0.9996827032084353,0.00031729679156470035,0,Bull,fixed holdout
2021-07-12,0.9998956354452986,0.0001043645547013938,0,Bull,fixed holdout
2021-07-13,0.9998213526271071,0.0001786473728928118,0,Bull,fixed holdout
2021-07-14,0.9998931588957912,0.00010684110420879889,0,Bull,fixed holdout
2021-07-15,0.9999170202627058,8.297973729426844e-05,0,Bull,fixed holdout
2021-07-16,0.9998130497730437,0.00018695022695631867,0,Bull,fixed holdout
2021-07-19,0.9987128168880072,0.0012871831119928513,0,Bull,fixed holdout
2021-07-20,0.9974534337223181,0.002546566277681855,0,Bull,fixed holdout
2021-07-21,0.9990398263337354,0.000960173666264548,0,Bull,fixed holdout
2021-07-22,0.9995734458146672,0.00042655418533275175,0,Bull,fixed holdout
2021-07-23,0.9996966041891254,0.0003033958108745199,0,Bull,fixed holdout
2021-07-26,0.9997755186242884,0.00022448137571165683,0,Bull,fixed holdout
2021-07-27,0.9997773630446409,0.00022263695535909922,0,Bull,fixed holdout
2021-07-28,0.9996778311909787,0.0003221688090213228,0,Bull,fixed holdout
2021-07-29,0.9997707796866231,0.00022922031337688602,0,Bull,fixed holdout
2021-07-30,0.9997806265775653,0.00021937342243467416,0,Bull,fixed holdout
2021-08-02,0.9998699976831941,0.00013000231680591212,0,Bull,fixed holdout
