Method,Metric,Policy seeds,Mean,Median,Standard deviation,10th percentile,90th percentile,Minimum,Maximum
HMM-GMV,Maximum drawdown,5,-0.16738241985901114,-0.16738241985901114,0.0,-0.16738241985901114,-0.16738241985901114,-0.16738241985901114,-0.16738241985901114
HMM-GMV,Daily CVaR 95%,5,-0.008761588611080841,-0.008761588611080841,0.0,-0.008761588611080841,-0.008761588611080841,-0.008761588611080841,-0.008761588611080841
HMM-GMV,Final wealth,5,1.3693474157236967,1.3693474157236967,0.0,1.3693474157236967,1.3693474157236967,1.3693474157236967,1.3693474157236967
HMM-GMV,Mean turnover,5,0.0207123123366009,0.0207123123366009,0.0,0.0207123123366009,0.0207123123366009,0.0207123123366009,0.0207123123366009
HMM-GMV,Total transaction cost,5,0.04988864576509975,0.04988864576509975,0.0,0.04988864576509975,0.04988864576509975,0.04988864576509975,0.04988864576509975
HMM-GMV,Mean HHI,5,0.22357073103060396,0.22357073103060396,0.0,0.22357073103060396,0.22357073103060396,0.22357073103060396,0.22357073103060396
HMM-GMV,Mean cash weight,5,0.09837594290525231,0.09837594290525231,0.0,0.09837594290525231,0.09837594290525231,0.09837594290525231,0.09837594290525231
GLASSO-GAT,Annualised return,5,0.09033679330575857,0.08865353360005712,0.008038968664281993,0.08339169781540146,0.09878639116010968,0.08195980063185382,0.10286977838823042
GLASSO-GAT,Annualised volatility,5,0.11704282005421784,0.11758241144386339,0.0034336781653862168,0.11361023005673682,0.12042545173032837,0.11314788849103907,0.12176714278983518
GLASSO-GAT,Sharpe ratio,5,0.738531112062296,0.718061691277697,0.0544716583694811,0.6889021290218846,0.7957493471022314,0.6699473665420593,0.8041222760109552
GLASSO-GAT,Sortino ratio,5,0.695181147939901,0.67684752390449,0.06379687276794714,0.6396722711221693,0.7611770993730927,0.6171751584834152,0.7889552624028645
