Method,Annualised return,Annualised volatility,Sharpe ratio,Daily Sharpe ratio,Sortino ratio,Maximum drawdown,Calmar ratio,Daily VaR 95%,Daily CVaR 95%,Skewness,Excess kurtosis,Final wealth,Mean turnover,Total transaction cost,Mean HHI,Mean cash weight,Probabilistic Sharpe probability vs zero,Deflated Sharpe probability,Deflated Sharpe benchmark,DSR effective trials,Policy seed
X-GAT-DRL (LSTM),0.08598663984369614,0.0835623645040842,0.9871539628624421,0.06218485455871219,0.9084557520152012,-0.14129420865616182,0.608564502830713,-0.007987162136482966,-0.012825572469132079,-0.7913082487936455,6.190614335452395,1.866810991909183,0.017708886313905783,0.045371748105339615,0.1764500828281516,0.29188303292758966,0.9958605585393773,0.9763442001079048,0.24561439207728122,9.0,307
1/N,0.10480560921389448,0.11927741401229298,0.8356100025809712,0.052638482377792624,0.7711785684909261,-0.22133417988570858,0.4735175076348961,-0.01080507703210799,-0.01781480960053653,-0.9131688152362422,13.588383759744596,2.1260041482358183,0.0030384808350539453,0.010852006202927998,0.08333333333333334,0.0,0.9872349509451491,0.9425845971406375,0.24561439207728122,9.0,307
GMV,0.04490991905702302,0.04120484862480679,1.0661531666306048,0.0671613366287759,1.0166003662303251,-0.1000402531592276,0.4489184866969779,-0.004086370285077459,-0.005867860579563099,-0.27472705763002414,4.483236817329787,1.394371360989643,0.001962731287015105,0.007598135958793766,0.2884772703705104,0.5,0.9981045665040833,0.9870634729284303,0.24561439207728122,9.0,307
HMM-GMV,0.04241237617638127,0.05955857571352398,0.6974246618775498,0.04393362413169776,0.6656499442880531,-0.16738241985901114,0.25338608566004656,-0.006143187555766556,-0.008761588611080841,-0.21974592361199,1.9992657505024178,1.3693474157236967,0.0207123123366009,0.04988864576509975,0.22357073103060396,0.09837594290525231,0.9717416395216413,0.8916637633377595,0.24561439207728122,9.0,307
GLASSO-GAT,0.08865353360005712,0.11841291514106816,0.7173342727416225,0.04518781172804077,0.67684752390449,-0.22710438941864286,0.3903646857156677,-0.010461153143715317,-0.01726322559534202,-0.7944399391569769,18.367263096194073,1.9017842185123979,0.11524499680909082,0.25809120104075367,0.08849067047795592,0.06519551474611276,0.9731133929972509,0.8976525205477144,0.24561439207728122,9.0,307
TC-MAC,0.06635244860310618,0.12258636761145941,0.524070494604762,0.03301333805216232,0.47511282689017237,-0.24603196892782986,0.26969035321816154,-0.010347596890757597,-0.01770098646714735,-1.349609533207941,32.26768361111654,1.6260652688581125,0.10262354839467645,0.23108000318519223,0.08792120609941592,0.05609079868287766,0.9198337007161941,0.7721564500811842,0.24561439207728122,9.0,307
JM-MPC,0.10917587312394916,0.1204060649415344,0.8605653126528966,0.05421051914781215,0.7904975414207467,-0.21589937746530674,0.5056794253216077,-0.011300213267973806,-0.018231854979276006,-0.7271568015498572,10.11553468445037,2.1904777631236083,5.44862758611867e-11,4.482414723395991e-07,0.0854622099679799,0.0377401070062255,0.9895979638075479,0.950711201874432,0.24561439207728122,9.0,307
X-GAT-DRL (Hybrid),0.10020742930147808,0.07968955608741175,1.1983845664084585,0.07549113185082737,1.1066543444728982,-0.12790086383855914,0.7834773456101386,-0.007782626949693344,-0.012009945781232169,-0.6145919119103092,4.5408686950270445,2.0599524104553737,0.02004646791676933,0.050866265190811666,0.17400285219246975,0.2924245383805564,0.9993308276007005,0.9929801216289585,0.28072030551216204,9.0,401
X-GAT-DRL (GRU),0.07688469056914449,0.07671716120949983,0.9655248692617358,0.060822349731302496,0.8896677943605864,-0.13510777166405818,0.5690619393850724,-0.007555750098812923,-0.011409484486082366,-0.688119112290281,7.230008384307247,1.7516170599743348,0.01856412510308662,0.047270530685187655,0.14491745514309454,0.2741711841438539,0.9952136391868939,0.9669398451226897,0.28072030551216204,9.0,401
X-GAT-DRL (LSTM),0.0734053077110699,0.07348319479516285,0.9639772156221794,0.0607248567159232,0.8929260605299624,-0.12013457032243835,0.6110256815673606,-0.007316901300622817,-0.011164259771784077,-0.5739392403764467,3.7531807945879905,1.709241267558953,0.017493167768383767,0.04474713059413145,0.1522696979905951,0.2811360390185133,0.9953311094714069,0.9672953970487935,0.28072030551216204,9.0,401
