Phase,Start,End,Trading days,Benchmark cumulative return,Minimum drawdown,Mean annualised volatility,Mean VIX,Mean high-yield spread
Sideways,2015-10-30,2015-10-30,1,-0.004310211793852603,-0.0168356009081031,0.1283038561263921,15.07,
Bull,2015-11-02,2015-11-10,7,0.003029955164929711,-0.016126053849990107,0.11644036098454176,15.055714285714284,
Sideways,2015-11-11,2015-11-19,7,-4.81889677993924e-05,-0.04232127088986348,0.13102188603198844,17.90714285714286,
Bull,2015-11-20,2015-11-20,1,0.0036444663128913923,-0.01031038508466997,0.1298673183121851,15.47,
Sideways,2015-11-23,2015-11-24,2,0.00019102135272517775,-0.011444954446338529,0.1246261573041399,15.774999999999999,
Bull,2015-11-25,2015-11-27,2,0.0010032793563358304,-0.01026320821159965,0.12104518438316272,15.155,
Sideways,2015-11-30,2015-11-30,1,-0.00415140833108818,-0.013241721814680751,0.11887542344346587,16.13,
Bull,2015-12-01,2015-12-02,2,-0.0007670532148403797,-0.01399861792423307,0.12143589243569738,15.29,
Sideways,2015-12-03,2015-12-03,1,-0.01400283150947046,-0.02780542914554507,0.1288886333513603,18.11,
Bull,2015-12-04,2015-12-07,2,0.013326364928972483,-0.014849609512372797,0.14764376797213308,15.325,
Sideways,2015-12-08,2015-12-24,13,-0.006939651518739856,-0.04860819185078058,0.1621652422900701,19.13307692307692,
Bull,2015-12-28,2015-12-30,3,0.0012152457106270227,-0.02392185994649898,0.18143301247803034,16.759999999999998,
Sideways,2015-12-31,2016-01-13,9,-0.08303782279950034,-0.1018330883952554,0.18477784977578687,22.53666666666667,
Bear,2016-01-14,2016-01-19,3,-0.0040778369980893295,-0.1066848165624571,0.206244937920916,25.673333333333332,
Sideways,2016-01-20,2016-01-21,2,-0.007284967197725433,-0.11695878592211117,0.19808532297545545,27.14,
Bear,2016-01-22,2016-02-23,22,0.030157025709993505,-0.13022943370276208,0.22220632407633498,22.948636363636364,
Sideways,2016-02-24,2016-02-26,3,0.014402954467642316,-0.08104711308098467,0.2026574179488834,19.88,
Bear,2016-02-29,2016-02-29,1,-0.007841931916849343,-0.07933454093501979,0.20163310741079798,20.55,
Sideways,2016-03-01,2016-03-10,8,0.030894431643259012,-0.057693011305834374,0.18455936239016185,17.595,
Bull,2016-03-11,2016-04-28,34,0.045002969237214786,-0.03838191589930351,0.11347129524880434,14.486176470588234,
Sideways,2016-04-29,2016-04-29,1,-0.005398641178064656,-0.017943642938243576,0.10234102760515174,15.7,
Bull,2016-05-02,2016-05-03,2,-0.0008239179695018036,-0.018752776817890116,0.10533452452796535,15.14,
Sideways,2016-05-04,2016-05-09,4,-0.0013095210644842642,-0.024416542566904176,0.09275792385266876,15.3125,
Bull,2016-05-10,2016-05-12,3,0.0032540885346816076,-0.017134423354341122,0.09358533221666471,14.243333333333334,
Sideways,2016-05-13,2016-05-13,1,-0.008714251106596183,-0.025416282711600346,0.09407110141630923,15.04,
Bull,2016-05-16,2016-05-19,4,-0.002734649879162577,-0.02808142795631685,0.10128288197922528,15.6325,
Sideways,2016-05-20,2016-05-23,2,0.004945779139441287,-0.023274533357467653,0.10327259382876852,15.51,
Bull,2016-05-24,2016-06-23,22,0.03263143725983745,-0.02248928977472897,0.09654479978916415,16.339545454545455,
