Lag,Source,Target,Mean signed weight,Mean absolute weight,Edge persistence
3,QQQ,EFA,0.0,0.0,0.0
3,IWM,EFA,0.0,0.0,0.0
3,EEM,EFA,0.0,0.0,0.0
3,IEF,EFA,0.0,0.0,0.0
3,TLT,EFA,0.0,0.0,0.0
3,LQD,EFA,0.0,0.0,0.0
3,GLD,EFA,0.0,0.0,0.0
3,DBC,EFA,0.0,0.0,0.0
3,VNQ,EFA,0.0,0.0,0.0
3,SPY,EEM,0.0,0.0,0.0
3,QQQ,EEM,0.0,0.0,0.0
3,IWM,EEM,0.0,0.0,0.0
3,EFA,EEM,0.0,0.0,0.0
3,IEF,EEM,0.0,0.0,0.0
3,LQD,EEM,0.0,0.0,0.0
3,GLD,EEM,0.0,0.0,0.0
3,VNQ,EEM,0.0,0.0,0.0
3,SPY,IEF,0.0,0.0,0.0
3,QQQ,IEF,0.0,0.0,0.0
3,IWM,IEF,0.0,0.0,0.0
3,EFA,IEF,0.0,0.0,0.0
3,EEM,IEF,0.0,0.0,0.0
3,TLT,IEF,0.0,0.0,0.0
3,HYG,IEF,0.0,0.0,0.0
3,GLD,IEF,0.0,0.0,0.0
3,DBC,IEF,0.0,0.0,0.0
3,VNQ,IEF,0.0,0.0,0.0
3,SPY,TLT,0.0,0.0,0.0
3,QQQ,TLT,0.0,0.0,0.0
3,IWM,TLT,0.0,0.0,0.0
3,EFA,TLT,0.0,0.0,0.0
3,EEM,TLT,0.0,0.0,0.0
3,IEF,TLT,0.0,0.0,0.0
3,LQD,TLT,0.0,0.0,0.0
3,HYG,TLT,0.0,0.0,0.0
3,GLD,TLT,0.0,0.0,0.0
3,DBC,TLT,0.0,0.0,0.0
3,VNQ,TLT,0.0,0.0,0.0
3,SPY,LQD,0.0,0.0,0.0
3,QQQ,LQD,0.0,0.0,0.0
3,IWM,LQD,0.0,0.0,0.0
3,EFA,LQD,0.0,0.0,0.0
3,EEM,LQD,0.0,0.0,0.0
3,IEF,LQD,0.0,0.0,0.0
3,HYG,LQD,0.0,0.0,0.0
3,GLD,LQD,0.0,0.0,0.0
3,DBC,LQD,0.0,0.0,0.0
3,VNQ,LQD,0.0,0.0,0.0
3,SPY,HYG,0.0,0.0,0.0
3,QQQ,HYG,0.0,0.0,0.0
3,IWM,HYG,0.0,0.0,0.0
3,EFA,HYG,0.0,0.0,0.0
3,EEM,HYG,0.0,0.0,0.0
3,IEF,HYG,0.0,0.0,0.0
3,TLT,HYG,0.0,0.0,0.0
3,LQD,HYG,0.0,0.0,0.0
3,GLD,HYG,0.0,0.0,0.0
3,DBC,HYG,0.0,0.0,0.0
3,VNQ,HYG,0.0,0.0,0.0
3,QQQ,GLD,0.0,0.0,0.0
3,IWM,GLD,0.0,0.0,0.0
3,EFA,GLD,0.0,0.0,0.0
3,EEM,GLD,0.0,0.0,0.0
3,IEF,GLD,0.0,0.0,0.0
3,TLT,GLD,0.0,0.0,0.0
